Title,Link
Головнокомандувач Збройних Сил України генерал Олександр Сирський провів зустріч із Головою Військового комітету НАТО адміралом Джузеппе Каво Драгоне,No link
"Рік на чолі Збройних Сил України. Наші пріоритети, – Головнокомандувач ЗС України генерал Олександр Сирський",No link
Оперативна інформація станом на 08.00 08.02.2025 щодо російського вторгнення,No link
Пріоритетом залишається знищення окупантів ще на підході до наших позицій.,No link
Польща приймає зустріч для узгодження подальших дій в рамках Рамкової програми розвитку оперативних сил,No link
Оперативна інформація станом на 08.00 07.02.2025 щодо російського вторгнення,No link
"Зустріч ГК ЗСУ та ГК ЗС Швеції: Archer, CV-80  та літаки",No link
Безпілотні системи та РЕБ: Підсумки та досягнення січня 2025 року,No link
"6 місяців від початку Курської операції: загальні втрати ворога – близько 40 тисяч осіб, з них понад 16 тисяч – убитими",No link
Оперативна інформація станом на 08.00 06.02.2025 щодо російського вторгнення,No link
